animalID,breed,birthdate,sex,testdate,weight,beakfat
YYTQLS118401002,YY,2018/9/4,F,NA,NA,NA
YYTQLS118401004,YY,2018/9/4,F,NA,NA,NA
YYTQLS118401006,YY,2018/9/4,F,NA,NA,NA
YYTQLS118401008,YY,2018/9/4,F,NA,NA,NA
YYTQLS118401009,YY,2018/9/4,M,NA,NA,NA
YYTQLS118401010,YY,2018/9/4,F,NA,NA,NA
YYTQLS118401013,YY,2018/9/4,F,NA,NA,NA
YYTQLS118401015,YY,2018/9/5,M,NA,NA,NA
YYTQLS118401017,YY,2018/9/5,F,NA,NA,NA
YYTQLS118401018,YY,2018/9/5,F,NA,NA,NA
YYTQLS118401019,YY,2018/9/5,F,NA,NA,NA
YYTQLS118401020,YY,2018/9/5,F,NA,NA,NA
YYTQLS118401022,YY,2018/9/6,M,NA,NA,NA
YYTQLS118401023,YY,2018/9/6,M,NA,NA,NA
YYTQLS118401025,YY,2018/9/6,M,NA,NA,NA
YYTQLS118401026,YY,2018/9/6,F,NA,NA,NA
YYTQLS118401027,YY,2018/9/6,F,NA,NA,NA
YYTQLS118401028,YY,2018/9/6,F,NA,NA,NA
YYTQLS118401034,YY,2018/9/6,F,NA,NA,NA
YYTQLS118401035,YY,2018/9/6,F,NA,NA,NA
YYTQLS118401036,YY,2018/9/6,F,NA,NA,NA
YYTQLS118401037,YY,2018/9/6,M,NA,NA,NA
YYTQLS118401038,YY,2018/9/6,F,NA,NA,NA
YYTQLS118401040,YY,2018/9/6,F,NA,NA,NA
YYTQLS118401041,YY,2018/9/6,F,NA,NA,NA
YYTQLS118401042,YY,2018/9/7,F,NA,NA,NA
YYTQLS118401043,YY,2018/9/7,M,NA,NA,NA
YYTQLS118401044,YY,2018/9/7,F,NA,NA,NA
YYTQLS118401045,YY,2018/9/7,F,NA,NA,NA
YYTQLS118401046,YY,2018/9/7,M,NA,NA,NA
YYTQLS118401047,YY,2018/9/7,F,NA,NA,NA
YYTQLS118401048,YY,2018/9/7,F,NA,NA,NA
YYTQLS118401049,YY,2018/9/7,F,NA,NA,NA
YYTQLS118401050,YY,2018/9/7,F,NA,NA,NA
